# NLCE Partial Sum up to Order 1
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -7.624735167704e-01  1.839035342374e-02  -1.656821259677e+01  8.943477429067e-01
1.170779913723e-01  -7.618591930164e-01  5.881518699426e-02  -1.433767725230e+01  9.167672606268e-01
1.370725606377e-01  -7.598478589546e-01  1.508431316641e-01  -1.242160956253e+01  9.428139710223e-01
1.604818007171e-01  -7.544718802980e-01  3.175020624778e-01  -1.076255688030e+01  9.727226281726e-01
1.878888687977e-01  -7.425463903958e-01  5.556917440628e-01  -9.308029277005e+00  1.006328701196e+00
2.199765136004e-01  -7.204170792204e-01  8.128868107483e-01  -8.015645348546e+00  1.042836638810e+00
2.575440836141e-01  -6.859467410731e-01  9.975479019252e-01  -6.859911302067e+00  1.080782828892e+00
3.015274399936e-01  -6.405717351893e-01  1.038478518656e+00  -5.833427047954e+00  1.118366588970e+00
3.530222701807e-01  -5.892157310368e-01  9.399634974891e-01  -4.938082904166e+00  1.154037506133e+00
4.133113830244e-01  -5.377053841065e-01  7.674998139021e-01  -4.172754721665e+00  1.186941640927e+00
4.838966653580e-01  -4.900834792988e-01  5.898644909109e-01  -3.527687987512e+00  1.216952974282e+00
5.665364961185e-01  -4.477872748882e-01  4.442241586705e-01  -2.986890782403e+00  1.244395363263e+00
6.632895500465e-01  -4.103803205199e-01  3.379966648329e-01  -2.532984543617e+00  1.269721857691e+00
7.765660821766e-01  -3.766526691866e-01  2.639045572916e-01  -2.150444724547e+00  1.293309765492e+00
9.091879706908e-01  -3.454050120468e-01  2.115162896149e-01  -1.826676307957e+00  1.315387113494e+00
1.064459013883e+00  -3.158087274278e-01  1.724084710645e-01  -1.551823975961e+00  1.336044291744e+00
1.246247232436e+00  -2.874655400678e-01  1.412663791508e-01  -1.318155397539e+00  1.355281976035e+00
1.459081227268e+00  -2.603138638161e-01  1.152792626166e-01  -1.119455615896e+00  1.373062810098e+00
1.708262993376e+00  -2.344889679665e-01  9.316575749237e-02  -9.505795487997e-01  1.389350897508e+00
2.000000000000e+00  -2.101979016704e-01  7.438249893633e-02  -8.071663555762e-01  1.404134809482e+00
