# NLCE Partial Sum up to Order 1
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -7.684464443747e-01  3.108671280510e-02  -1.682364414763e+01  9.139179703882e-01
1.170779913723e-01  -7.674002992034e-01  1.005280165974e-01  -1.457140013282e+01  9.385899598288e-01
1.370725606377e-01  -7.639589029013e-01  2.577045052131e-01  -1.262900254963e+01  9.671308148767e-01
1.604818007171e-01  -7.548725364421e-01  5.300057640400e-01  -1.093220697852e+01  9.995477252829e-01
1.878888687977e-01  -7.355663554583e-01  8.717414172396e-01  -9.424356638547e+00  1.035165352504e+00
2.199765136004e-01  -7.027524884994e-01  1.140076832750e+00  -8.070031953733e+00  1.072465005327e+00
2.575440836141e-01  -6.579899904102e-01  1.203207761758e+00  -6.862762875682e+00  1.109473985469e+00
3.015274399936e-01  -6.074623649805e-01  1.074306774810e+00  -5.810547634595e+00  1.144577188240e+00
3.530222701807e-01  -5.575745655110e-01  8.644965256927e-01  -4.913571207578e+00  1.177025496883e+00
4.133113830244e-01  -5.118873781837e-01  6.618229672661e-01  -4.158374268130e+00  1.206816041710e+00
4.838966653580e-01  -4.712974704277e-01  5.001468730608e-01  -3.524747486629e+00  1.234316084581e+00
5.665364961185e-01  -4.352408969959e-01  3.823293407209e-01  -2.992238467633e+00  1.259971400008e+00
6.632895500465e-01  -4.025808747256e-01  2.999550810678e-01  -2.542978700798e+00  1.284150323504e+00
7.765660821766e-01  -3.721392633221e-01  2.423004361190e-01  -2.162365870724e+00  1.307080729138e+00
9.091879706908e-01  -3.430048425754e-01  2.001149050876e-01  -1.838841079228e+00  1.328847346670e+00
1.064459013883e+00  -3.146616737724e-01  1.669545757982e-01  -1.563317706930e+00  1.349425950932e+00
1.246247232436e+00  -2.869721051110e-01  1.391054038281e-01  -1.328552325514e+00  1.368732553707e+00
1.459081227268e+00  -2.600720278547e-01  1.148348496885e-01  -1.128615650492e+00  1.386669880580e+00
1.708262993376e+00  -2.342399480169e-01  9.353681162571e-02  -9.585180286859e-01  1.403160928870e+00
2.000000000000e+00  -2.097839799449e-01  7.507513515548e-02  -8.139754565094e-01  1.418166933074e+00
