# Nearest neighbor list for triangular lattice cluster: cluster_8_order_4
# Format: site_id, number_of_neighbors, [neighbor_ids]

0 2 1 2
1 2 0 2
2 4 0 1 3 6
3 2 2 6
4 2 6 8
5 2 6 7
6 6 2 3 4 5 7 8
7 2 5 6
8 2 4 6
