# NLCE Partial Sum up to Order 2
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -2.506040122305e-01  -6.032031664247e-02  -3.268864991988e+00  7.628248696824e-02
1.170779913723e-01  -2.525883840167e-01  -1.880847015866e-01  -2.557580302760e+00  4.684798060379e-02
1.370725606377e-01  -2.589207808405e-01  -4.695361101782e-01  -1.983979197934e+00  1.302832807208e-02
1.604818007171e-01  -2.753591429372e-01  -9.569163550549e-01  -1.561601114839e+00  -2.475058402600e-02
1.878888687977e-01  -3.104876372704e-01  -1.603853012077e+00  -1.307873785108e+00  -6.475271125630e-02
2.199765136004e-01  -3.723604735556e-01  -2.204441596194e+00  -1.222469091229e+00  -1.034459848828e-01
2.575440836141e-01  -4.616915508852e-01  -2.467435473059e+00  -1.265286573664e+00  -1.358244797617e-01
3.015274399936e-01  -5.668335007152e-01  -2.240293582936e+00  -1.359482661363e+00  -1.569121741188e-01
3.530222701807e-01  -6.675642465900e-01  -1.649285515856e+00  -1.427259428520e+00  -1.637098829971e-01
4.133113830244e-01  -7.458106346313e-01  -9.718723975343e-01  -1.426702509384e+00  -1.561382473134e-01
4.838966653580e-01  -7.933124403700e-01  -4.189390094069e-01  -1.357492658188e+00  -1.364262698251e-01
5.665364961185e-01  -8.112791289232e-01  -5.638037372869e-02  -1.241797359407e+00  -1.077556040355e-01
6.632895500465e-01  -8.056695340873e-01  1.447519189872e-01  -1.104332565374e+00  -7.317728369872e-02
7.765660821766e-01  -7.830119409293e-01  2.393565332753e-01  -9.630308691868e-01  -3.515483182975e-02
9.091879706908e-01  -7.485275011651e-01  2.723652494794e-01  -8.281816194852e-01  4.445264818066e-03
1.064459013883e+00  -7.059834291124e-01  2.715903684293e-01  -7.047588473786e-01  4.420347859363e-02
1.246247232436e+00  -6.582019785584e-01  2.523896350453e-01  -5.947588376340e-01  8.301457680953e-02
1.459081227268e+00  -6.075260825341e-01  2.234879299310e-01  -4.986343177381e-01  1.200218897493e-01
1.708262993376e+00  -5.560169042920e-01  1.904926969180e-01  -4.159869181031e-01  1.545981536319e-01
2.000000000000e+00  -5.054441478953e-01  1.573016090859e-01  -3.458909317921e-01  1.863377156889e-01
