# Temperature  Specific_Heat
1.000000000000000056e-01 1.127717031414436910e-01
1.047615752789664845e-01 1.290972855078835746e-01
1.097498765493056250e-01 1.462875564049787303e-01
1.149756995397735598e-01 1.641615349061670004e-01
1.204503540258782118e-01 1.825138401238114993e-01
1.261856883066020396e-01 2.011188017351473456e-01
1.321941148466029003e-01 2.197347398634294235e-01
1.384886371393873050e-01 2.381082208443821846e-01
1.450828778495939775e-01 2.559781629188370156e-01
1.519911082952933867e-01 2.730797449155787371e-01
1.592282793341092129e-01 2.891481515293267690e-01
1.668100537200058742e-01 3.039222605348613770e-01
1.747528400007683780e-01 3.171484304634166196e-01
1.830738280295368392e-01 3.285845734782518734e-01
1.917910261672488847e-01 3.380046911834750922e-01
2.009233002565046777e-01 3.452040075755473669e-01
2.104904144512020903e-01 3.500047536838672424e-01
2.205130739903045645e-01 3.522625473044043720e-01
2.310129700083159709e-01 3.518731778351945616e-01
2.420128264794382256e-01 3.487794641869604306e-01
2.535364493970111988e-01 3.429777202226805266e-01
2.656087782946686682e-01 3.345232563670063608e-01
2.782559402207124277e-01 3.235342869245831365e-01
2.915053062825177510e-01 3.101936164235934434e-01
3.053855508833415722e-01 2.947475554742415849e-01
3.199267137797383587e-01 2.775016696119766424e-01
3.351602650938842465e-01 2.588131860081674396e-01
3.511191734215131643e-01 2.390801552386240536e-01
3.678379771828634293e-01 2.187277619336371604e-01
3.853528593710529582e-01 1.981924662423364958e-01
4.037017258596554692e-01 1.779049025741215317e-01
4.229242874389498863e-01 1.582726306657154802e-01
4.430621457583880929e-01 1.396639019215723532e-01
4.641588833612779741e-01 1.223935581981724641e-01
4.862601580065354367e-01 1.067120220335100178e-01
5.094138014816380622e-01 9.279808270368936074e-02
5.336699231206309957e-01 8.075586005168436388e-02
5.590810182512223614e-01 7.061597507214970038e-02
5.857020818056667411e-01 6.234061325548781451e-02
6.135907273413173657e-01 5.583187151256432945e-02
6.428073117284321958e-01 5.094256194872606724e-02
6.734150657750822555e-01 4.748852388700683380e-02
7.054802310718643055e-01 4.526147395813670538e-02
7.390722033525778389e-01 4.404149451183078656e-02
7.742636826811271078e-01 4.360840446434069428e-02
8.111308307896872849e-01 4.375144891171245387e-02
8.497534359086444944e-01 4.427695719638485850e-02
8.902150854450388007e-01 4.501382827238763207e-02
9.326033468832198858e-01 4.581688674724566923e-02
9.770099572992253512e-01 4.656829914369545187e-02
1.023531021899026339e+00 4.717734109188517766e-02
1.072267222010323762e+00 4.757886213070039449e-02
1.123324032978027631e+00 4.773081034954275437e-02
1.176811952434998476e+00 4.761116222423687760e-02
1.232846739442066575e+00 4.721456310938171308e-02
1.291549665014884107e+00 4.654893030460588443e-02
1.353047774579807516e+00 4.563221165078860941e-02
1.417474162926805503e+00 4.448943473375710500e-02
1.484968262254465099e+00 4.315012952677009517e-02
1.555676143930472266e+00 4.164616338155157499e-02
1.629750834620644184e+00 4.000999280244060818e-02
1.707352647470691265e+00 3.827331133825519205e-02
1.788649529057435128e+00 3.646605632754976178e-02
1.873817422860384996e+00 3.461572780562480883e-02
1.963040650040271506e+00 3.274696911956254120e-02
2.056512308348651619e+00 3.088135921764786213e-02
2.154434690031884259e+00 2.903736984932295262e-02
2.257019719633920118e+00 2.723044591606276627e-02
2.364489412645408350e+00 2.547317307562023403e-02
2.477076355991711498e+00 2.377550277458372052e-02
2.595024211399737268e+00 2.214501072179171637e-02
2.718588242732941307e+00 2.058717013889873812e-02
2.848035868435801810e+00 1.910562578456871316e-02
2.983647240283340274e+00 1.770245869036897110e-02
3.125715849688236680e+00 1.637843477949580198e-02
3.274549162877729902e+00 1.513323311518770600e-02
3.430469286314919319e+00 1.396565151819728970e-02
3.593813663804627634e+00 1.287378878577540714e-02
3.764935806792469197e+00 1.185520382274263436e-02
3.944206059437656009e+00 1.090705273779584220e-02
4.132012400115338657e+00 1.002620543638839401e-02
4.328761281083059131e+00 9.209343516794487455e-03
4.534878508128584507e+00 8.453041399822277396e-03
4.750810162102798273e+00 7.753832637137499442e-03
4.977023564332111683e+00 7.108263281817674313e-03
5.214008287999686964e+00 6.512934093698571208e-03
5.462277217684342823e+00 5.964533211177742121e-03
5.722367659350219959e+00 5.459860765150039222e-03
5.994842503189412142e+00 4.995846750305574582e-03
6.280291441834256361e+00 4.569563311503989714e-03
6.579332246575682497e+00 4.178232453250449799e-03
6.892612104349698399e+00 3.819230041441386194e-03
7.220809018385467404e+00 3.490086840142766871e-03
7.564633275546290392e+00 3.188487212826724392e-03
7.924828983539177862e+00 2.912266017149121259e-03
8.302175681319747369e+00 2.659404134462754494e-03
8.697490026177835176e+00 2.428022999000357864e-03
9.111627561154895361e+00 2.216378426043077738e-03
9.545484566618341660e+00 2.022853982354317487e-03
1.000000000000000000e+01 1.845954094645473661e-03
