# Temperature  Energy
1.000000000000000056e-01 -2.477489349214330727e-01
1.047615752789664845e-01 -2.471731704431756327e-01
1.097498765493056250e-01 -2.464863105406780441e-01
1.149756995397735598e-01 -2.456750272081919539e-01
1.204503540258782118e-01 -2.447258419793814643e-01
1.261856883066020396e-01 -2.436253617621647882e-01
1.321941148466029003e-01 -2.423605372366768596e-01
1.384886371393873050e-01 -2.409189423668819108e-01
1.450828778495939775e-01 -2.392890739377171727e-01
1.519911082952933867e-01 -2.374606701621101712e-01
1.592282793341092129e-01 -2.354250471101980713e-01
1.668100537200058742e-01 -2.331754508161033856e-01
1.747528400007683780e-01 -2.307074212761006382e-01
1.830738280295368392e-01 -2.280191620958688381e-01
1.917910261672488847e-01 -2.251119063006928600e-01
2.009233002565046777e-01 -2.219902649394052685e-01
2.104904144512020903e-01 -2.186625408770849766e-01
2.205130739903045645e-01 -2.151409860106342220e-01
2.310129700083159709e-01 -2.114419766094007558e-01
2.420128264794382256e-01 -2.075860792221348450e-01
2.535364493970111988e-01 -2.035979792706613667e-01
2.656087782946686682e-01 -1.995062466806608037e-01
2.782559402207124277e-01 -1.953429181348342591e-01
2.915053062825177510e-01 -1.911428839674267077e-01
3.053855508833415722e-01 -1.869430791953863580e-01
3.199267137797383587e-01 -1.827814921342912069e-01
3.351602650938842465e-01 -1.786960194893451870e-01
3.511191734215131643e-01 -1.747232123841029883e-01
3.678379771828634293e-01 -1.708969718765653845e-01
3.853528593710529582e-01 -1.672472634166305150e-01
4.037017258596554692e-01 -1.637989258585222652e-01
4.229242874389498863e-01 -1.605706508589022918e-01
4.430621457583880929e-01 -1.575742021383718661e-01
4.641588833612779741e-01 -1.548139312485868890e-01
4.862601580065354367e-01 -1.522866280255212035e-01
5.094138014816380622e-01 -1.499817213889488576e-01
5.336699231206309957e-01 -1.478818216806911390e-01
5.590810182512223614e-01 -1.459635717187741377e-01
5.857020818056667411e-01 -1.441987525592492436e-01
6.135907273413173657e-01 -1.425555736485220326e-01
6.428073117284321958e-01 -1.410000670696238967e-01
6.734150657750822555e-01 -1.394975026259702711e-01
7.054802310718643055e-01 -1.380137444397191437e-01
7.390722033525778389e-01 -1.365164796943432457e-01
7.742636826811271078e-01 -1.349762646687012457e-01
8.111308307896872849e-01 -1.333673504953480082e-01
8.497534359086444944e-01 -1.316682692460734716e-01
8.902150854450388007e-01 -1.298621782717021833e-01
9.326033468832198858e-01 -1.279369758051458472e-01
9.770099572992253512e-01 -1.258852127257912845e-01
1.023531021899026339e+00 -1.237038336058291221e-01
1.072267222010323762e+00 -1.213937846834336753e-01
1.123324032978027631e+00 -1.189595275598385182e-01
1.176811952434998476e+00 -1.164084957706386092e-01
1.232846739442066575e+00 -1.137505276410988309e-01
1.291549665014884107e+00 -1.109973037341082658e-01
1.353047774579807516e+00 -1.081618114179566936e-01
1.417474162926805503e+00 -1.052578531929678207e-01
1.484968262254465099e+00 -1.022996098604747051e-01
1.555676143930472266e+00 -9.930126469444765236e-02
1.629750834620644184e+00 -9.627669065637631252e-02
1.707352647470691265e+00 -9.323919944137240567e-02
1.788649529057435128e+00 -9.020134873924801067e-02
1.873817422860384996e+00 -8.717480246358012830e-02
1.963040650040271506e+00 -8.417023773602330672e-02
2.056512308348651619e+00 -8.119729198939035220e-02
2.154434690031884259e+00 -7.826454354774803335e-02
2.257019719633920118e+00 -7.537951934040422464e-02
2.364489412645408350e+00 -7.254872390937730509e-02
2.477076355991711498e+00 -6.977768449395836681e-02
2.595024211399737268e+00 -6.707100765615733873e-02
2.718588242732941307e+00 -6.443244359825707479e-02
2.848035868435801810e+00 -6.186495498381953950e-02
2.983647240283340274e+00 -5.937078768368347220e-02
3.125715849688236680e+00 -5.695154141558298605e-02
3.274549162877729902e+00 -5.460823872411674218e-02
3.430469286314919319e+00 -5.234139115619053373e-02
3.593813663804627634e+00 -5.015106182868558221e-02
3.764935806792469197e+00 -4.803692386512973395e-02
3.944206059437656009e+00 -4.599831440302428603e-02
4.132012400115338657e+00 -4.403428405016095171e-02
4.328761281083059131e+00 -4.214364180373584429e-02
4.534878508128584507e+00 -4.032499554691020005e-02
4.750810162102798273e+00 -3.857678830979915929e-02
4.977023564332111683e+00 -3.689733053104490845e-02
5.214008287999686964e+00 -3.528482858689751395e-02
5.462277217684342823e+00 -3.373740987107552713e-02
5.722367659350219959e+00 -3.225314471400685112e-02
5.994842503189412142e+00 -3.083006542713100789e-02
6.280291441834256361e+00 -2.946618274906126142e-02
6.579332246575682497e+00 -2.815949995737049294e-02
6.892612104349698399e+00 -2.690802489402257733e-02
7.220809018385467404e+00 -2.570978013514807481e-02
7.564633275546290392e+00 -2.456281151779692029e-02
7.924828983539177862e+00 -2.346519521814521836e-02
8.302175681319747369e+00 -2.241504355785601393e-02
8.697490026177835176e+00 -2.141050969819719568e-02
9.111627561154895361e+00 -2.044979136536108702e-02
9.545484566618341660e+00 -1.953113373530766111e-02
1.000000000000000000e+01 -1.865283159245620034e-02
