# Temperature  Order_1  Order_2  Order_3
3.430469286314919319e+00 6.853664850507262818e-01 -7.463284148503945836e-03 2.241302876525336774e-01
3.593813663804627634e+00 6.860428356097911795e-01 -6.839329880718558741e-03 2.246942637167066992e-01
3.764935806792469197e+00 6.866615707384323697e-01 -6.264450990804637520e-03 2.252150029352259497e-01
3.944206059437656009e+00 6.872273999968135927e-01 -5.735303649246126234e-03 2.256954413699856221e-01
4.132012400115338657e+00 6.877446814725179935e-01 -5.248683386468111500e-03 2.261383667226188610e-01
4.328761281083059131e+00 6.882174422380381573e-01 -4.801536060425326546e-03 2.265464191665257920e-01
4.534878508128584507e+00 6.886493986787403099e-01 -4.390964667911889663e-03 2.269220930773686029e-01
4.750810162102798273e+00 6.890439764489593166e-01 -4.014232734154354887e-03 2.272677396007223849e-01
4.977023564332111683e+00 6.894043298709603418e-01 -3.668764925978895697e-03 2.275855699703786539e-01
5.214008287999686964e+00 6.897333606391925498e-01 -3.352145448640375669e-03 2.278776594762081664e-01
5.462277217684342823e+00 6.900337357317384290e-01 -3.062114707159557803e-03 2.281459519741214081e-01
5.722367659350219959e+00 6.903079044632411954e-01 -2.796564640692666970e-03 2.283922648304063940e-01
5.994842503189412142e+00 6.905581146398827030e-01 -2.553533073547331611e-03 2.286182941969560900e-01
6.280291441834256361e+00 6.907864277980757528e-01 -2.331197368969917250e-03 2.288256205207866156e-01
6.579332246575682497e+00 6.909947335252563105e-01 -2.127867621493195749e-03 2.290157142006944702e-01
6.892612104349698399e+00 6.911847628741911720e-01 -1.941979580011743423e-03 2.291899413132782171e-01
7.220809018385467404e+00 6.913581008921910742e-01 -1.772087456319959564e-03 2.293495693412286873e-01
7.564633275546290392e+00 6.915161982940555285e-01 -1.616856741978422995e-03 2.294957728465581714e-01
7.924828983539177862e+00 6.916603823129356954e-01 -1.475057129488810403e-03 2.296296390413042621e-01
8.302175681319747369e+00 6.917918667669596955e-01 -1.345555611209303670e-03 2.297521732168036623e-01
8.697490026177835176e+00 6.919117613817732382e-01 -1.227309810783894228e-03 2.298643040009398786e-01
9.111627561154895361e+00 6.920210804103480440e-01 -1.119361586396583341e-03 2.299668884197949570e-01
9.545484566618341660e+00 6.921207505917584824e-01 -1.020830932617511344e-03 2.300607167466382774e-01
1.000000000000000000e+01 6.922116184903094327e-01 -9.309101973996591894e-04 2.301465171262476461e-01
