# Temperature  Energy
1.000000000000000056e-01 -2.430749794781445761e-01
1.047615752789664845e-01 -2.420043680935657360e-01
1.097498765493056250e-01 -2.408482593940030336e-01
1.149756995397735598e-01 -2.396135627808270441e-01
1.204503540258782118e-01 -2.383096030015562083e-01
1.261856883066020396e-01 -2.369480656198567625e-01
1.321941148466029003e-01 -2.355428513599475693e-01
1.384886371393873050e-01 -2.341098352713232023e-01
1.450828778495939775e-01 -2.326665293073716390e-01
1.519911082952933867e-01 -2.312316498509216500e-01
1.592282793341092129e-01 -2.298245950152369155e-01
1.668100537200058742e-01 -2.284648402318598115e-01
1.747528400007683780e-01 -2.271712646841953509e-01
1.830738280295368392e-01 -2.259614254711180825e-01
1.917910261672488847e-01 -2.248508008443135253e-01
2.009233002565046777e-01 -2.238520282615490409e-01
2.104904144512020903e-01 -2.229741670938738540e-01
2.205130739903045645e-01 -2.222220193211816852e-01
2.310129700083159709e-01 -2.215955440835844781e-01
2.420128264794382256e-01 -2.210894030868932048e-01
2.535364493970111988e-01 -2.206926730884828380e-01
2.656087782946686682e-01 -2.203887584982561765e-01
2.782559402207124277e-01 -2.201555310705121116e-01
2.915053062825177510e-01 -2.199657144703814904e-01
3.053855508833415722e-01 -2.197875192155481494e-01
3.199267137797383587e-01 -2.195855185758859018e-01
3.351602650938842465e-01 -2.193217393862819387e-01
3.511191734215131643e-01 -2.189569247648037176e-01
3.678379771828634293e-01 -2.184519101379336914e-01
3.853528593710529582e-01 -2.177690416007716512e-01
4.037017258596554692e-01 -2.168735581992870809e-01
4.229242874389498863e-01 -2.157348585224008741e-01
4.430621457583880929e-01 -2.143275776841929159e-01
4.641588833612779741e-01 -2.126324131889302249e-01
4.862601580065354367e-01 -2.106366562690911159e-01
5.094138014816380622e-01 -2.083344072732326302e-01
5.336699231206309957e-01 -2.057264772327864200e-01
5.590810182512223614e-01 -2.028200003317350009e-01
5.857020818056667411e-01 -1.996278012819857894e-01
6.135907273413173657e-01 -1.961675757104054951e-01
6.428073117284321958e-01 -1.924609494734848825e-01
6.734150657750822555e-01 -1.885324840699457716e-01
7.054802310718643055e-01 -1.844086905807220678e-01
7.390722033525778389e-01 -1.801171050537052898e-01
7.742636826811271078e-01 -1.756854656075788890e-01
8.111308307896872849e-01 -1.711410175301201764e-01
8.497534359086444944e-01 -1.665099589395256374e-01
8.902150854450388007e-01 -1.618170274826782884e-01
9.326033468832198858e-01 -1.570852189392793752e-01
9.770099572992253512e-01 -1.523356218934122097e-01
1.023531021899026339e+00 -1.475873488120696408e-01
1.072267222010323762e+00 -1.428575425997738180e-01
1.123324032978027631e+00 -1.381614384462254985e-01
1.176811952434998476e+00 -1.335124629357964388e-01
1.232846739442066575e+00 -1.289223553467314376e-01
1.291549665014884107e+00 -1.244012993226306929e-01
1.353047774579807516e+00 -1.199580562593427768e-01
1.417474162926805503e+00 -1.156000945575915428e-01
1.484968262254465099e+00 -1.113337112057742606e-01
1.555676143930472266e+00 -1.071641439351112141e-01
1.629750834620644184e+00 -1.030956734565537658e-01
1.707352647470691265e+00 -9.913171611354934520e-02
1.788649529057435128e+00 -9.527490775495732478e-02
1.873817422860384996e+00 -9.152717983912550537e-02
1.963040650040271506e+00 -8.788982880670795361e-02
2.056512308348651619e+00 -8.436357967566032734e-02
2.154434690031884259e+00 -8.094864467060740310e-02
2.257019719633920118e+00 -7.764477753878878952e-02
2.364489412645408350e+00 -7.445132405079059323e-02
2.477076355991711498e+00 -7.136726905071040516e-02
2.595024211399737268e+00 -6.839128031351204839e-02
2.718588242732941307e+00 -6.552174938819090022e-02
2.848035868435801810e+00 -6.275682955165871879e-02
2.983647240283340274e+00 -6.009447096590256332e-02
3.125715849688236680e+00 -5.753245311530617162e-02
3.274549162877729902e+00 -5.506841459743527789e-02
3.430469286314919319e+00 -5.269988034500375229e-02
3.593813663804627634e+00 -5.042428636575171930e-02
3.764935806792469197e+00 -4.823900209799031336e-02
3.944206059437656009e+00 -4.614135049066426381e-02
4.132012400115338657e+00 -4.412862592669102718e-02
4.328761281083059131e+00 -4.219811011624519798e-02
4.534878508128584507e+00 -4.034708609224260667e-02
4.750810162102798273e+00 -3.857285044338355090e-02
4.977023564332111683e+00 -3.687272392088597472e-02
5.214008287999686964e+00 -3.524406055371077928e-02
5.462277217684342823e+00 -3.368425540392164241e-02
5.722367659350219959e+00 -3.219075108919908917e-02
5.994842503189412142e+00 -3.076104319375513180e-02
6.280291441834256361e+00 -2.939268468227150544e-02
6.579332246575682497e+00 -2.808328942431152775e-02
6.892612104349698399e+00 -2.683053492916066471e-02
7.220809018385467404e+00 -2.563216438342660886e-02
7.564633275546290392e+00 -2.448598807616813450e-02
7.924828983539177862e+00 -2.338988428892581004e-02
8.302175681319747369e+00 -2.234179972090547320e-02
8.697490026177835176e+00 -2.133974951279483945e-02
9.111627561154895361e+00 -2.038181692631054268e-02
9.545484566618341660e+00 -1.946615273061123169e-02
1.000000000000000000e+01 -1.859097434119640763e-02
