# Temperature  Order_1  Order_2  Order_3
8.111308307896872849e-01 1.339122457583786785e-01 4.375144891171245387e-02 8.507536579275377930e-02
8.497534359086444944e-01 1.296062371390059309e-01 4.427695719638485850e-02 8.335244819723966470e-02
8.902150854450388007e-01 1.248896616264168896e-01 4.501382827238763207e-02 8.087751941399803912e-02
9.326033468832198858e-01 1.198490493762249393e-01 4.581688674724566923e-02 7.787637563320712331e-02
9.770099572992253512e-01 1.145669694833697794e-01 4.656829914369545187e-02 7.453646357521888366e-02
1.023531021899026339e+00 1.091205536282688626e-01 4.717734109188517766e-02 7.100755636959790729e-02
1.072267222010323762e+00 1.035804240709368162e-01 4.757886213070039449e-02 6.740469623349105988e-02
1.123324032978027631e+00 9.800999762510166635e-02 4.773081034954275437e-02 6.381252717000805708e-02
1.176811952434998476e+00 9.246512428515572812e-02 4.761116222423687760e-02 6.029027816384398969e-02
1.232846739442066575e+00 8.699401146919355510e-02 4.721456310938171308e-02 5.687682487892455063e-02
1.291549665014884107e+00 8.163738167713568972e-02 4.654893030460588443e-02 5.359542845505024800e-02
1.353047774579807516e+00 7.642881185434106939e-02 4.563221165078860941e-02 5.045790460662386012e-02
1.417474162926805503e+00 7.139520595553511262e-02 4.448943473375710500e-02 4.746810382567913378e-02
1.484968262254465099e+00 6.655735722488913264e-02 4.315012952677009517e-02 4.462467984968889606e-02
1.555676143930472266e+00 6.193056276025076662e-02 4.164616338155157499e-02 4.192318943823743205e-02
1.629750834620644184e+00 5.752525937233571307e-02 4.000999280244060818e-02 3.935760582917100653e-02
1.707352647470691265e+00 5.334765609712173451e-02 3.827331133825519205e-02 3.692134647049715584e-02
1.788649529057435128e+00 4.940034463222400807e-02 3.646605632754976178e-02 3.460791852157131532e-02
1.873817422860384996e+00 4.568287423411247078e-02 3.461572780562480883e-02 3.241127847259780981e-02
1.963040650040271506e+00 4.219228212524206434e-02 3.274696911956254120e-02 3.032598941467831016e-02
2.056512308348651619e+00 3.892357419040669980e-02 3.088135921764786213e-02 2.834724430845244128e-02
2.154434690031884259e+00 3.587015371800450492e-02 2.903736984932295262e-02 2.647080833150202567e-02
2.257019719633920118e+00 3.302419822879412020e-02 2.723044591606276627e-02 2.469291944556920373e-02
2.364489412645408350e+00 3.037698611680524075e-02 2.547317307562023403e-02 2.301017444821917488e-02
2.477076355991711498e+00 2.791917599717945453e-02 2.377550277458372052e-02 2.141941820900416030e-02
2.595024211399737268e+00 2.564104240628532760e-02 2.214501072179171637e-02 1.991764647060328269e-02
2.718588242732941307e+00 2.353267191689200830e-02 2.058717013889873812e-02 1.850192727267198009e-02
2.848035868435801810e+00 2.158412389262183081e-02 1.910562578456871316e-02 1.716934239907642878e-02
