# Temperature  Specific_Heat
1.000000000000000056e-01 2.205995416076953763e-01
1.047615752789664845e-01 2.286618501417509164e-01
1.097498765493056250e-01 2.344180400470435299e-01
1.149756995397735598e-01 2.376605726468302704e-01
1.204503540258782118e-01 2.382462073266367886e-01
1.261856883066020396e-01 2.361026663033990169e-01
1.321941148466029003e-01 2.312328769038666798e-01
1.384886371393873050e-01 2.237167096230628649e-01
1.450828778495939775e-01 2.137102104358870047e-01
1.519911082952933867e-01 2.014423837149212082e-01
1.592282793341092129e-01 1.872096251232531761e-01
1.668100537200058742e-01 1.713679413122390360e-01
1.747528400007683780e-01 1.543231325973054291e-01
1.830738280295368392e-01 1.365191599580887205e-01
1.917910261672488847e-01 1.184249689974488512e-01
2.009233002565046777e-01 1.005200991466548427e-01
2.104904144512020903e-01 8.327946426706306360e-02
2.205130739903045645e-01 6.715774954562124532e-02
2.310129700083159709e-01 5.257392838908993282e-02
2.420128264794382256e-01 3.989646017835683789e-02
2.535364493970111988e-01 2.942978072043237608e-02
2.656087782946686682e-01 2.140273327378589691e-02
2.782559402207124277e-01 1.595959608395350338e-02
2.915053062825177510e-01 1.315432698485613505e-02
3.053855508833415722e-01 1.294855228917421441e-02
3.199267137797383587e-01 1.521366672570413636e-02
3.351602650938842465e-01 1.973718374721809832e-02
3.511191734215131643e-01 2.623319330584580888e-02
3.678379771828634293e-01 3.435647166469960045e-02
3.853528593710529582e-01 4.371947934996394530e-02
4.037017258596554692e-01 5.391121833067193114e-02
4.229242874389498863e-01 6.451673577875452481e-02
4.430621457583880929e-01 7.513598877048532909e-02
4.641588833612779741e-01 8.540083734221430578e-02
4.862601580065354367e-01 9.498911014254071694e-02
5.094138014816380622e-01 1.036349674394623499e-01
5.336699231206309957e-01 1.111351355553438780e-01
5.590810182512223614e-01 1.173509609342430898e-01
5.857020818056667411e-01 1.222065852062746705e-01
6.135907273413173657e-01 1.256838345248627586e-01
6.428073117284321958e-01 1.278146183222745313e-01
6.734150657750822555e-01 1.286717306674594608e-01
7.054802310718643055e-01 1.283589434181280631e-01
7.390722033525778389e-01 1.270011895564783222e-01
7.742636826811271078e-01 1.247354819428200395e-01
8.111308307896872849e-01 1.217030257669724502e-01
8.497534359086444944e-01 1.180427899035643713e-01
8.902150854450388007e-01 1.138866260733121805e-01
9.326033468832198858e-01 1.093558809404704818e-01
9.770099572992253512e-01 1.045593430063320589e-01
1.023531021899026339e+00 9.959230431360112379e-02
1.072267222010323762e+00 9.453649211157537369e-02
1.123324032978027631e+00 8.946063001132825709e-02
1.176811952434998476e+00 8.442141275482779872e-02
1.232846739442066575e+00 7.946471482162630051e-02
1.291549665014884107e+00 7.462689337161432235e-02
1.353047774579807516e+00 6.993608504241176360e-02
1.417474162926805503e+00 6.541343042307111444e-02
1.484968262254465099e+00 6.107418788108907176e-02
1.555676143930472266e+00 5.692871942974743471e-02
1.629750834620644184e+00 5.298334598654453470e-02
1.707352647470691265e+00 4.924107869046558811e-02
1.788649529057435128e+00 4.570223810456083835e-02
1.873817422860384996e+00 4.236497529373380727e-02
1.963040650040271506e+00 3.922570894760112753e-02
2.056512308348651619e+00 3.627949171991813604e-02
2.154434690031884259e+00 3.352031737137888684e-02
2.257019719633920118e+00 3.094137853298789195e-02
2.364489412645408350e+00 2.853528319965872515e-02
2.477076355991711498e+00 2.629423655013563010e-02
2.595024211399737268e+00 2.421019342236481464e-02
2.718588242732941307e+00 2.227498575583700124e-02
2.848035868435801810e+00 2.048042851923547944e-02
2.983647240283340274e+00 1.881840703568259804e-02
3.125715849688236680e+00 1.728094815923960498e-02
3.274549162877729902e+00 1.586027740849884834e-02
3.430469286314919319e+00 1.454886389530999323e-02
3.593813663804627634e+00 1.333945467472413653e-02
3.764935806792469197e+00 1.222509996815339048e-02
3.944206059437656009e+00 1.119917056289224458e-02
4.132012400115338657e+00 1.025536855915572254e-02
4.328761281083059131e+00 9.387732515428872521e-03
4.534878508128584507e+00 8.590637931229595098e-03
4.750810162102798273e+00 7.858793901857416206e-03
4.977023564332111683e+00 7.187236681757905830e-03
5.214008287999686964e+00 6.571320801687529148e-03
5.462277217684342823e+00 6.006708300040517964e-03
5.722367659350219959e+00 5.489356550675165980e-03
5.994842503189412142e+00 5.015505098450186335e-03
6.280291441834256361e+00 4.581661849459741156e-03
6.579332246575682497e+00 4.184588905510046655e-03
6.892612104349698399e+00 3.821288281477540870e-03
7.220809018385467404e+00 3.488987699493011074e-03
7.564633275546290392e+00 3.185126615005056793e-03
7.924828983539177862e+00 2.907342596235313117e-03
8.302175681319747369e+00 2.653458149868840460e-03
8.697490026177835176e+00 2.421468061539382502e-03
9.111627561154895361e+00 2.209527299291440781e-03
9.545484566618341660e+00 2.015939511270951803e-03
1.000000000000000000e+01 1.839146134978473547e-03
