# Nearest neighbor list for triangular lattice cluster: cluster_7_order_4
# Format: site_id, number_of_neighbors, [neighbor_ids]

0 2 1 2
1 2 0 2
2 4 0 1 3 5
3 2 2 5
4 2 5 7
5 4 2 3 4 7
6 2 7 8
7 4 4 5 6 8
8 2 6 7
