# NLCE Partial Sum up to Order 1
# Temperature  Energy  Specific_Heat  Entropy  Free_Energy
1.000000000000e-01  -7.559989156683e-01  2.532884353089e-02  -1.661420050668e+01  9.054211349993e-01
1.170779913723e-01  -7.551582464272e-01  8.013667665593e-02  -1.439888203927e+01  9.306339407373e-01
1.370725606377e-01  -7.524377659289e-01  2.028853685882e-01  -1.249204267974e+01  9.598785117786e-01
1.604818007171e-01  -7.452785357356e-01  4.192171204951e-01  -1.083368677215e+01  9.933310258639e-01
1.878888687977e-01  -7.297688535412e-01  7.126885849550e-01  -9.369421040945e+00  1.030641067131e+00
2.199765136004e-01  -7.020178229715e-01  9.978977071730e-01  -8.058667681189e+00  1.070699797801e+00
2.575440836141e-01  -6.609268461242e-01  1.156362659917e+00  -6.882945900695e+00  1.111735148436e+00
3.015274399936e-01  -6.099899632425e-01  1.131089703292e+00  -5.843093076047e+00  1.151862933622e+00
3.530222701807e-01  -5.556347422549e-01  9.692241163389e-01  -4.944163532511e+00  1.189765092137e+00
4.133113830244e-01  -5.035615714110e-01  7.633262846752e-01  -4.182188537891e+00  1.224984557254e+00
4.838966653580e-01  -4.565440730740e-01  5.807504138633e-01  -3.542642440092e+00  1.257728790242e+00
5.665364961185e-01  -4.146249463276e-01  4.453536611887e-01  -3.006156722115e+00  1.288472549803e+00
6.632895500465e-01  -3.764149951520e-01  3.530248683249e-01  -2.554020483503e+00  1.317640102160e+00
7.765660821766e-01  -3.402932322476e-01  2.901096139283e-01  -2.170776226952e+00  1.345457957598e+00
9.091879706908e-01  -3.050927482965e-01  2.438851217060e-01  -1.844545934289e+00  1.371946226546e+00
1.064459013883e+00  -2.703109471639e-01  2.060780407428e-01  -1.566330853386e+00  1.396984048446e+00
1.246247232436e+00  -2.360163997708e-01  1.726703536235e-01  -1.329118805500e+00  1.420394233161e+00
1.459081227268e+00  -2.026252039434e-01  1.424070375705e-01  -1.127174122445e+00  1.442013397979e+00
1.708262993376e+00  -1.706734751678e-01  1.153141167517e-01  -9.555950516946e-01  1.461734188295e+00
2.000000000000e+00  -1.406524365606e-01  9.171980024264e-02  -8.100864805464e-01  1.479520524532e+00
