# Site information for cluster: cluster_2_order_2
# site_id, matrix_index, sublattice_index, x, y, z

344 0 0 2.125000 2.125000 2.125000
348 1 0 2.625000 2.625000 2.125000
349 2 1 2.625000 2.375000 1.875000
350 3 2 2.375000 2.625000 1.875000
351 4 3 2.375000 2.375000 2.125000
370 5 2 2.375000 2.125000 2.375000
489 6 1 2.125000 2.375000 2.375000
