# Nearest neighbor list for triangular lattice cluster: cluster_4_order_3
# Format: site_id, number_of_neighbors, [neighbor_ids]

0 2 1 2
1 4 0 2 5 6
2 2 0 1
3 2 4 6
4 2 3 6
5 2 1 6
6 4 1 3 4 5
