# Nearest neighbor list for triangular lattice cluster: cluster_11_order_4
# Format: site_id, number_of_neighbors, [neighbor_ids]

0 2 1 2
1 2 0 2
2 4 0 1 4 7
3 2 4 6
4 4 2 3 6 7
5 2 7 8
6 2 3 4
7 4 2 4 5 8
8 2 5 7
