# Nearest neighbor list for triangular lattice cluster: cluster_4_order_3
# Format: site_id, number_of_neighbors, [neighbor_ids]

0 2 1 2
1 2 0 2
2 4 0 1 3 5
3 2 2 5
4 2 5 6
5 4 2 3 4 6
6 2 4 5
